address,btc_deposit,btc_withdraw,ibc_transfer
nomic1qvkvcar33wnwkuv56yurnu4lsfkkdcz6tywmdl,true,true,true
nomic1qv6ee9vtu5j00dl4ky9tyqps34cftclwvhlwjy,true,true,true
nomic1qdp7869udsjt77lnse555e86ss0zjcxed52tdg,true,true,true
nomic1qdzgugsx5zueucmj54ugr7rtllkksh372xgeqk,true,true,true
nomic1qdrwa4d4pu8da9ydkmwr53dfypr30mkfze2fr0,true,true,true
nomic1qdx4qw80x6mcdf3m9kmt9rrsw7dp4zjwk2227f,true,true,true
nomic1qd8n0gv8tlncxalyxuqprjsccsjxx207tat3xe,true,true,true
nomic1qdf25tj6syvnlwh9gvzuzlxywdx9ekujudkt9m,true,true,true
nomic1qdvq7h9m9tsf5gsrgm54j6cu3lc8fr8mrp9z6g,true,true,true
nomic1qdv9r34uhwr4xm6rgr3r9s08aujfgmwkd2c38s,true,true,true
nomic1qd0h204zxuehvdmvjnskqh89rnqt6a4g5lvgc2,true,true,true
nomic1qdng8vpnlmrv39u8twur5zqf4gg4sply69euy5,true,false,false
nomic1qd5vkfdxcpel4vnzuqwwz6dgeyz7yksteuz5qs,true,true,true
nomic1qd5cvs4tel4a5zzgq2qgsmvyfzp7ytpxk2jp74,true,true,true
nomic1qd4nwenx2mryp4yztk79se2epu06rylz3ql0ck,true,true,true
nomic1qd463kzgk73cpk9ywl3jhvn4v4uwlwd340ty9k,true,true,true
nomic1qdh3ph8j26aqujqc9zn3xtrtls3wa5gr4aykse,true,true,true
nomic1qdarp3xkhpsv8d8fssdg5m8544e8emzgqfql42,true,false,true
nomic1qdlhxacptu7lr848qaa9kwuurwgs8fjujdj36t,true,true,true
nomic1qwqe792ag6p0fg44nk3f2qcredn4lu6972nmrv,true,true,true
nomic1qwpg6uhs0syz82l3snv6z5hrfdted7txg5x9y5,true,true,true
nomic1qwpwsa7fms6e8nct7chgehd86gxgp0ww0ln8hl,true,true,true
nomic1qwpjtpy3qsa7a36wype93dvtxf85jsxg53j8ja,true,true,true
nomic1qwpnhcg4xufanjaxxpmgx9qwuk64x5rd87p234,true,true,true
nomic1qwypuls3nzxjh3ks46kgcp7yfzseegfghkyk04,true,true,true
nomic1qwys2exrdqtfv3f4sqf5dsvjpppz0489qqjk27,true,true,true
nomic1qw264x7dvqcfuxj7zcsj2j9gglpg4wj8t8j59l,true,true,true
nomic1qwddlvank6hlslqyc5pgyycs7u6w9dje3akjpq,true,true,true
nomic1qw39tlpa5akjrvtzm08e375affrhnpz5ajtcfg,true,true,true
nomic1qw3m9y7cjtp69kcmzny3gfjrks3qaexctxucyu,true,true,true
nomic1qwjzpda94a5ewa5r5ky6p8reffzu5dmu97argu,true,true,true
nomic1qw5ymw59v2alcxq2d322y5rukdp30duhukfuf8,true,true,true
nomic1qw590hrrv84uypn0amkp7zkc3xl76g4vecsdsk,true,true,true
nomic1qwk8l7d4cqvx284q3clfmgx389lv36jlggg85c,true,true,true
nomic1qwhaqznc0lthq8lsg4uzjhwzjdpq0ttw5xmjl0,true,true,true
nomic1qwcc3nunfpkhln38sjaj3t5yw3szakgtru9fww,true,true,true
nomic1qw6uy3j3utvnqkpnpljj6l20heejq3k4gny5lg,true,true,true
nomic1qwmpmw5r6edwxry3f50wxr7zhxeqder44lmlmw,true,true,true
nomic1qwm86e67myvf282sua85hawn6nq8jejauwr8jf,true,true,true
nomic1qwmejag0n8pl45nc3938nz57frckpm8drut8r3,true,true,true
nomic1qwuzv8nadnumchv29m5uuwvuevk3rz367mzrtf,true,true,true
nomic1qwasamh38qgch2crlxad7l2agyax6lcqht28yz,true,true,true
nomic1qwlx64res3epry3jukdld3uwzx3n2aplyhph2j,true,true,true
nomic1qwlkgfsxkr7v64a8w2m0j0h73znhw83uvl4r8f,true,true,true
nomic1q0rp0jnjhxsnc9w47l32nq0n37v4e6vl2uuryx,true,true,true
nomic1q0rrnwkc09a9nf57sqzaa8v9rm8lt0fl8r9h4e,true,true,true
nomic1q0r5ell5rfj7t9ndpa7975zz82ghfsh80espkn,true,true,false
nomic1q08n0593ptd7y2q6ntyhptxzgfgg6uw3akkedm,true,true,true
nomic1q0fh6l29w7e6vj6x0n0hd5trp02nc8u9s67q5j,true,true,true
nomic1q0tfewa60enuu8utyjs9w7um58njhd7ffkgyum,true,true,true
nomic1q0vp28wm00nk4vck4m8e9aaldjm02cqnk6s69h,true,true,true
nomic1q0w2y6jqs220sk54jytuvzl638y380pmn8qgrf,true,true,true
nomic1q00yf2ffask5gsx62phnslctd865th3wnlnlxf,true,true,true
nomic1q0szzl6jv0nl5yr4fyyvp63fsnph7u8ndw3uun,true,true,true
nomic1q0k2an6s4rwggacu2w848np6hc93e2v9fm40ce,true,true,true
nomic1q0hfmu5qj59zh8uaa9jsd3sf8twptzk86mrzw9,true,true,true
nomic1q0h3ht2j9m5sgaclmyqxyxdlhc4xysz738hl83,true,true,true
nomic1q0646nyzuaa88dcxl6n2wfhdglm40q5w6h4haf,true,true,true
nomic1q06m48zf53dqz9ue2446qrthqasgelc0mxllun,true,true,true
nomic1q0u7zqyxnsvrh7wt22mtk3hlj39rg2sdhwpqkm,true,true,true
nomic1q0ayld7t4vq9rg6mmjx64pr7dc99l677grqvep,true,false,true
nomic1q07dd68rcpg059fxau9c8qveqmg9nr5ast7ymj,true,false,true
nomic1qsqjxsnxq3gnav7n60kzlrrvacq7zrncpr2uww,true,true,true
nomic1qsp85ghzfq5af43veaa6vm8xglun0fx5rpa3a6,true,true,true
nomic1qsrxnzpavxqc2jqlkeyl3374svvclg4ld3e9wj,true,true,true
nomic1qsr8tgynj69dmngrt34uaxtkuy0ylqhs7u23p3,true,true,true
nomic1qsy438jeggqlmqcfvr5x8ty7g0kvwhjr0q4w2t,true,false,false
nomic1qs9tx33klf7mtmgf8gnns0hewhmuqe9w3l6p3p,true,true,true
nomic1qsxhsqpgydnwy5kxz9akw2zkkuy5ppmacal604,true,true,true
nomic1qsg2sxjwhj09hjwan4dfwxx4ll3vx9k6vkr9n4,true,true,true
nomic1qsgjgyxtavwm9na4p55fhek6uk5awmapfe28hd,true,true,true
nomic1qsfd5vkynrs2glpzmmj2xlnl7wk20k3z58e3su,true,true,true
nomic1qs2t36aa40gp0ttljq6pc3vxctnrrp5dwzmxuf,true,true,true
nomic1qstkgw0gkg3v8yskmp0my0ynzsymtapkl580un,true,true,true
nomic1qss6mq0uadmts7qxfxsgsu9wg6cz4gkpehzfe9,true,true,true
nomic1qsk66jfz02x9r6433xdj5ptkpfp07ytkf9zluf,true,true,true
nomic1qsh8ducsxvpa2amedlfrmmvh94rmu97zq96fq9,true,true,true
nomic1qsexmk9m3qyrlkx483w4w0tcrq8wkxkw4v00r6,true,true,true
nomic1qse3jhkz3yrq5dg77cdltcclu8tqew3cdyffs2,true,true,true
